time,name,reflectivity,velocity,power,spectrum_width
20:30:30,NGP180213203004.RAWD9AR,33.5,1.480000019,31,1.169999957
20:22:30,NGP180213202208.RAWCEL3,30.5,1.007874012,30.5,2.463779449
20:32:29,NGP180213203208.RAWD9AS,31,2.460000038,31,1.970000029
21:32:22,NGP180213213208.RAWD9B4,30.5,0.74000001,30.5,0.74000001
20:42:28,NGP180213204201.RAWD9AU,30.5,1.970000029,31,1.720000029
20:50:27,NGP180213205008.RAWCET5,31,1.007874012,30.5,0.800728381
20:13:31,NGP180213201301.RAWCEHT,30.5,1.007874012,30.5,2.463779449
20:20:30,NGP180213202003.RAWD9AN,30.5,1.539999962,30.5,0.860000014
20:22:30,NGP180213202208.RAWD9AP,30.5,2.460000038,30.5,2.460000038
20:12:01,NGP180213201148.RAWCEGY,30.5,1.007874012,31.5,1.047106266
20:12:01,NGP180213201148.RAWD9AL,30.5,7.820000172,31.5,1.049999952
19:10:08,NGP180213191003.RAWCE32,30.5,1.007874012,31,7.822500229
19:50:33,NGP180213195012.RAWCEC9,31,1.007874012,31,7.822500229
19:30:06,NGP180213193003.RAWCE7N,30.5,1.007874012,32,7.822500229
20:20:30,NGP180213202003.RAWCEK8,30.5,1.007874012,30.5,0.862322807
19:40:35,NGP180213194011.RAWD9AE,32,7.820000172,31.5,7.820000172
20:00:33,NGP180213200004.RAWCEEK,30.5,1.007874012,30.5,7.822500229
19:50:33,NGP180213195012.RAWD9AG,31,7.820000172,31,7.820000172
20:02:32,NGP180213200208.RAWCEFG,30.5,1.007874012,30.5,2.463779449
19:40:35,NGP180213194011.RAWCE9Z,32,1.007874012,31.5,7.822500229
19:20:07,NGP180213192003.RAWCE5C,32,1.007874012,30.5,7.822500229
20:52:27,NGP180213205201.RAWD9AW,30.5,1.480000019,30.5,1.720000029
20:00:33,NGP180213200004.RAWD9AJ,30.5,7.820000172,30.5,7.820000172
19:12:08,NGP180213191201.RAWD9A9,30.5,1.480000019,30.5,0.49000001
19:30:06,NGP180213193003.RAWD9AC,30.5,7.820000172,32,7.820000172
19:10:08,NGP180213191003.RAWD9A8,30.5,7.820000172,31,7.820000172
19:02:09,NGP180213190148.RAWCE0P,30.5,1.007874012,30.5,7.822500229
19:52:04,NGP180213195202.RAWD9AH,30.5,2.460000038,30.5,1.720000029
20:13:31,NGP180213201301.RAWD9AM,30.5,2.460000038,30.5,2.460000038
19:02:09,NGP180213190148.RAWD9A6,30.5,7.820000172,30.5,7.820000172
18:32:12,NGP180213183149.RAWD9A0,32,7.820000172,30.5,7.820000172
19:20:07,NGP180213192003.RAWD9AA,32,7.820000172,30.5,7.820000172
19:42:34,NGP180213194208.RAWCEAU,30.5,1.007874012,31,1.47826767
19:12:08,NGP180213191201.RAWCE3X,30.5,1.007874012,30.5,0.49275589
19:32:36,NGP180213193208.RAWD9AD,30.5,1.480000019,30.5,1.480000019
19:52:04,NGP180213195202.RAWCED4,30.5,1.007874012,30.5,1.724645615
19:03:09,NGP180213190253.RAWD9A7,31,1.720000029,30.5,1.480000019
19:32:36,NGP180213193208.RAWCE8H,30.5,1.007874012,30.5,1.47826767
18:51:39,NGP180213185129.RAWCDYD,30.5,1.007874012,31,7.822500229
18:20:13,NGP180213182006.RAWD99Y,30.5,7.820000172,31,1.600000024
18:52:40,NGP180213185233.RAWCDZ8,30.5,1.007874012,30.5,1.47826767
18:40:11,NGP180213184003.RAWCDW3,30.5,1.007874012,30.5,7.822500229
18:32:12,NGP180213183149.RAWCDTT,32,1.007874012,30.5,7.822500229
20:02:32,NGP180213200208.RAWD9AK,30.5,2.460000038,30.5,2.460000038
19:03:09,NGP180213190253.RAWCE1L,31,1.007874012,30.5,1.47826767
18:51:39,NGP180213185129.RAWD9A4,30.5,7.820000172,31,7.820000172
18:20:13,NGP180213182006.RAWCDRG,30.5,1.007874012,31,1.601456761
18:42:11,NGP180213184201.RAWCDWY,30.5,1.007874012,30.5,1.47826767
19:22:07,NGP180213192201.RAWCE67,31,1.007874012,30.5,0.739133835
18:52:40,NGP180213185233.RAWD9A5,30.5,1.720000029,30.5,1.480000019
18:40:11,NGP180213184003.RAWD9A2,30.5,7.820000172,30.5,7.820000172
18:33:12,NGP180213183301.RAWCDUM,30.5,1.007874012,30.5,1.724645615
19:42:34,NGP180213194208.RAWD9AF,30.5,2.460000038,31,1.480000019
18:00:16,NGP180213180003.RAWCDKU,30.5,1.007874012,31,7.822500229
18:22:13,NGP180213182208.RAWCDSB,30.5,1.007874012,30.5,1.47826767
18:10:44,NGP180213181014.RAWD99W,31.5,7.820000172,31,7.820000172
18:42:11,NGP180213184201.RAWD9A3,30.5,1.480000019,30.5,1.480000019
19:22:07,NGP180213192201.RAWD9AB,31,1.720000029,30.5,0.74000001
18:12:14,NGP180213181208.RAWCDP1,31,1.007874012,31,1.724645615
18:00:16,NGP180213180003.RAWD99U,30.5,7.820000172,31,7.820000172
18:22:13,NGP180213182208.RAWD99Z,30.5,0.99000001,30.5,1.480000019
17:40:18,NGP180213174008.RAWD99P,30.5,1.169999957,30.5,1.169999957
17:30:19,NGP180213173003.RAWD99M,31,7.820000172,30.5,1.169999957
18:33:12,NGP180213183301.RAWD9A1,30.5,1.720000029,30.5,1.720000029
18:10:44,NGP180213181014.RAWCDN6,31.5,1.007874012,31,7.822500229
17:50:16,NGP180213175008.RAWCDHH,30.5,1.007874012,30.5,1.601456761
18:02:15,NGP180213180201.RAWCDLR,31,1.007874012,30.5,1.47826767
17:52:16,NGP180213175208.RAWD99T,31.5,1.230000019,30.5,1.480000019
18:12:14,NGP180213181208.RAWD99X,31,1.230000019,31,1.720000029
18:02:15,NGP180213180201.RAWD99V,31,1.230000019,30.5,1.480000019
17:50:16,NGP180213175008.RAWD99S,30.5,7.820000172,30.5,1.600000024
17:20:20,NGP180213172008.RAWCDAL,30.5,1.007874012,30.5,1.047106266
17:42:18,NGP180213174201.RAWCDG2,30.5,1.007874012,30.5,0.98551178
17:00:22,NGP180213170005.RAWD99F,30.5,7.820000172,30.5,7.820000172
17:42:18,NGP180213174201.RAWD99R,30.5,1.480000019,30.5,0.99000001
17:52:16,NGP180213175208.RAWCDJC,31.5,1.007874012,30.5,1.47826767
17:40:18,NGP180213174008.RAWCDF7,30.5,1.007874012,30.5,1.170295358
17:10:21,NGP180213171014.RAWCD8A,31,1.007874012,30.5,1.724645615
17:22:20,NGP180213172201.RAWD99L,30.5,1.720000029,30.5,1.230000019
17:12:20,NGP180213171201.RAWD99J,30.5,1.720000029,31,1.720000029
17:32:19,NGP180213173201.RAWD99N,31.5,1.480000019,30.5,0.99000001
16:50:23,NGP180213165003.RAWD99D,30.5,7.820000172,30.5,7.820000172
17:20:20,NGP180213172008.RAWD99K,30.5,1.419999957,30.5,1.049999952
17:32:19,NGP180213173201.RAWCDDS,31.5,1.007874012,30.5,0.98551178
16:40:24,NGP180213164014.RAWCD1B,31,1.007874012,30.5,7.822500229
17:00:22,NGP180213170005.RAWCD5Y,30.5,1.007874012,30.5,7.822500229
17:12:20,NGP180213171201.RAWCD95,30.5,1.007874012,31,1.724645615
16:40:24,NGP180213164014.RAWD99B,31,7.820000172,30.5,7.820000172
16:52:22,NGP180213165208.RAWCD4G,31,1.007874012,31.5,14.04354286
17:10:21,NGP180213171014.RAWD99H,31,1.110000014,30.5,1.720000029
16:52:22,NGP180213165208.RAWD99E,31,2.460000038,31.5,14.03999996
16:30:25,NGP180213163007.RAWCCZ1,30.5,1.007874012,30.5,7.822500229
17:30:19,NGP180213173003.RAWCDCX,31,1.007874012,30.5,1.170295358
17:02:22,NGP180213170208.RAWD99G,30.5,3.200000048,30.5,13.80000019
17:22:20,NGP180213172201.RAWCDBF,30.5,1.007874012,30.5,1.231889725
16:50:23,NGP180213165003.RAWCD3M,30.5,1.007874012,30.5,7.822500229
16:42:24,NGP180213164201.RAWCD26,30.5,1.007874012,30.5,1.97102356
16:20:26,NGP180213162003.RAWCCWR,30.5,1.007874012,31,7.822500229
16:30:25,NGP180213163007.RAWD999,30.5,7.820000172,30.5,7.820000172
16:22:26,NGP180213162201.RAWCCXK,31,1.007874012,31,1.97102356
17:02:22,NGP180213170208.RAWCD6V,30.5,1.007874012,30.5,13.79716492
16:10:28,NGP180213161003.RAWCCUE,30.5,1.007874012,30.5,7.822500229
16:32:25,NGP180213163202.RAWCCZW,30.5,1.007874012,30.5,1.97102356
16:10:28,NGP180213161003.RAWD995,30.5,7.820000172,30.5,7.820000172
16:20:26,NGP180213162003.RAWD997,30.5,7.820000172,31,7.820000172
16:42:24,NGP180213164201.RAWD99C,30.5,1.970000029,30.5,1.970000029
16:00:28,NGP180213160003.RAWD993,30.5,7.820000172,30.5,7.820000172
16:12:28,NGP180213161201.RAWCCV9,30.5,1.007874012,30.5,1.97102356
16:00:28,NGP180213160003.RAWCCS2,30.5,1.007874012,30.5,7.822500229
15:50:30,NGP180213155003.RAWD991,31,7.820000172,31,7.820000172
15:50:30,NGP180213155003.RAWCCNS,31,1.007874012,31,7.822500229
15:40:30,NGP180213154007.RAWCCLF,30.5,1.007874012,31,7.822500229
13:32:14,NGP180213133147.RAWCBPD,31,1.007874012,31,0.98551178
13:20:16,NGP180213132003.RAWD984,30.5,1.110000014,30.5,0.860000014
16:12:28,NGP180213161201.RAWD996,30.5,2.960000038,30.5,1.970000029
16:02:28,NGP180213160201.RAWCCSZ,30.5,1.007874012,30.5,2.217401743
15:40:30,NGP180213154007.RAWD98Z,30.5,7.820000172,31,7.820000172
13:10:17,NGP180213131003.RAWCBJT,31,1.007874012,33,0.862322807
13:22:16,NGP180213132201.RAWCBMY,30.5,1.007874012,30.5,0.739133835
13:32:14,NGP180213133147.RAWD986,31,0.99000001,31,0.99000001
13:20:16,NGP180213132003.RAWCBM3,30.5,1.007874012,30.5,0.862322807
15:52:29,NGP180213155201.RAWD992,31,3.450000048,30.5,1.720000029
15:52:29,NGP180213155201.RAWCCPL,31,1.007874012,30.5,1.724645615
15:30:32,NGP180213153003.RAWCCJ5,31.5,1.007874012,31,7.822500229
15:20:33,NGP180213152010.RAWD98V,30.5,7.820000172,30.5,7.820000172
13:12:17,NGP180213131209.RAWCBKM,31,1.007874012,31,1.724645615
13:22:16,NGP180213132201.RAWD985,30.5,1.720000029,30.5,0.74000001
13:10:17,NGP180213131003.RAWD982,31,1.909999967,33,0.860000014
15:30:32,NGP180213153003.RAWD98X,31.5,7.820000172,31,7.820000172
16:32:25,NGP180213163202.RAWD99A,30.5,1.970000029,30.5,1.970000029
15:42:30,NGP180213154201.RAWD990,30.5,1.720000029,30.5,1.230000019
16:02:28,NGP180213160201.RAWD994,30.5,2.220000029,30.5,2.220000029
13:02:18,NGP180213130201.RAWCBHB,31.5,1.007874012,31,2.217401743
12:50:19,NGP180213125005.RAWD97Y,30.5,1.659999967,30.5,0.49000001
15:32:32,NGP180213153208.RAWCCK0,31,1.007874012,30.5,1.724645615
13:00:18,NGP180213130007.RAWCBGE,30.5,1.007874012,30.5,0.923917353
12:50:19,NGP180213125005.RAWCBE4,30.5,1.007874012,30.5,0.49275589
15:42:30,NGP180213154201.RAWCCMA,30.5,1.007874012,30.5,1.231889725
15:22:02,NGP180213152201.RAWD98W,30.5,2.460000038,30.5,1.720000029
13:00:18,NGP180213130007.RAWD980,30.5,1.970000029,30.5,0.920000017
15:32:32,NGP180213153208.RAWD98Y,31,1.720000029,30.5,1.720000029
15:00:05,NGP180213150003.RAWCCB6,31.5,1.007874012,30.5,7.822500229
12:40:20,NGP180213124003.RAWCBBU,30.5,1.007874012,32.5,0.431161404
15:20:33,NGP180213152010.RAWCCFV,30.5,1.007874012,30.5,7.822500229
15:10:34,NGP180213151007.RAWD98T,30.5,7.820000172,31,7.820000172
15:12:04,NGP180213151201.RAWCCED,30.5,1.007874012,30.5,1.97102356
12:42:20,NGP180213124208.RAWCBCN,30.5,1.007874012,30.5,1.724645615
16:22:26,NGP180213162201.RAWD998,31,2.460000038,31,1.970000029
13:12:17,NGP180213131209.RAWD983,31,1.970000029,31,1.720000029
15:10:34,NGP180213151007.RAWCCDJ,30.5,1.007874012,31,7.822500229
15:22:02,NGP180213152201.RAWCCGP,30.5,1.007874012,30.5,1.724645615
13:02:18,NGP180213130201.RAWD981,31.5,1.970000029,31,2.220000029
12:40:20,NGP180213124003.RAWD97W,30.5,1.539999962,32.5,0.430000007
15:00:05,NGP180213150003.RAWD98R,31.5,7.820000172,30.5,7.820000172
12:42:20,NGP180213124208.RAWD97X,30.5,1.970000029,30.5,1.720000029
14:40:07,NGP180213144003.RAWD98L,31,7.820000172,30.5,7.820000172
12:31:51,NGP180213123148.RAWCB9H,30.5,1.007874012,31,0.49275589
12:20:22,NGP180213122003.RAWD97S,30.5,1.850000024,31,1.720000029
14:50:06,NGP180213145003.RAWD98N,30.5,7.820000172,30.5,7.820000172
14:50:06,NGP180213145003.RAWCC8W,30.5,1.007874012,30.5,7.822500229
14:40:07,NGP180213144003.RAWCC6K,31,1.007874012,30.5,7.822500229
12:20:22,NGP180213122003.RAWCB77,30.5,1.007874012,31,1.724645615
12:31:51,NGP180213123148.RAWD97U,30.5,1.720000029,31,0.49000001
12:52:19,NGP180213125208.RAWCBEZ,30.5,1.007874012,30.5,1.97102356
14:30:08,NGP180213143006.RAWD98J,31,7.820000172,30.5,7.820000172
12:22:22,NGP180213122201.RAWCB82,31.5,1.007874012,31.5,1.97102356
15:02:05,NGP180213150201.RAWCCC3,30.5,1.007874012,30.5,1.47826767
14:52:36,NGP180213145208.RAWCC9R,30.5,1.007874012,31,1.97102356
15:02:05,NGP180213150201.RAWD98S,30.5,1.480000019,30.5,1.480000019
12:52:19,NGP180213125208.RAWD97Z,30.5,1.970000029,30.5,1.970000029
12:22:22,NGP180213122201.RAWD97T,31.5,1.970000029,31.5,1.970000029
12:33:21,NGP180213123300.RAWCBAC,30.5,1.007874012,30.5,1.97102356
12:10:23,NGP180213121003.RAWCB4X,31,1.007874012,31,0.49275589
14:42:07,NGP180213144201.RAWCC7E,30.5,1.007874012,30.5,3.449291229
12:12:23,NGP180213121208.RAWCB5S,30.5,1.007874012,30.5,1.97102356
12:10:23,NGP180213121003.RAWD97P,31,1.419999957,31,0.49000001
12:02:25,NGP180213120201.RAWCB3F,31,1.007874012,30.5,2.463779449
12:00:25,NGP180213120006.RAWCB2J,30.5,1.007874012,31,0.431161404
12:33:21,NGP180213123300.RAWD97V,30.5,1.970000029,30.5,1.970000029
12:00:25,NGP180213120006.RAWD97M,30.5,1.659999967,31,0.430000007
14:20:09,NGP180213142006.RAWD98G,30.5,1.600000024,30.5,0.860000014
14:52:36,NGP180213145208.RAWD98P,30.5,1.970000029,31,1.970000029
12:12:23,NGP180213121208.RAWD97R,30.5,1.970000029,30.5,1.970000029
14:30:08,NGP180213143006.RAWCC49,31,1.007874012,30.5,7.822500229
14:20:09,NGP180213142006.RAWCC1Z,30.5,1.007874012,30.5,0.862322807
11:51:56,NGP180213115148.RAWD97K,30.5,1.539999962,31,1.850000024
14:22:09,NGP180213142205.RAWCC2U,30.5,1.007874012,30.5,1.724645615
12:02:25,NGP180213120201.RAWD97N,31,1.970000029,30.5,2.460000038
14:10:11,NGP180213141007.RAWD98E,30.5,1.110000014,30.5,0.430000007
14:00:11,NGP180213140003.RAWCBXA,30.5,1.007874012,30.5,0.615944862
11:51:56,NGP180213115148.RAWCB08,30.5,1.007874012,31,1.847834706
14:12:10,NGP180213141208.RAWCC0H,30.5,1.007874012,30.5,1.47826767
15:12:04,NGP180213151201.RAWD98U,30.5,1.720000029,30.5,1.970000029
14:10:11,NGP180213141007.RAWCBZN,30.5,1.007874012,30.5,0.431161404
14:32:38,NGP180213143208.RAWD98K,30.5,2.460000038,30.5,2.460000038
14:22:09,NGP180213142205.RAWD98H,30.5,1.720000029,30.5,1.720000029
11:40:27,NGP180213114003.RAWCAXY,30.5,1.007874012,30.5,1.416673303
13:50:13,NGP180213135003.RAWCBV0,30.5,1.007874012,30.5,0.739133835
11:42:26,NGP180213114201.RAWCAYT,30.5,1.007874012,30.5,1.97102356
14:42:07,NGP180213144201.RAWD98M,30.5,3.450000048,30.5,3.450000048
11:40:27,NGP180213114003.RAWD97H,30.5,1.360000014,30.5,1.419999957
14:12:10,NGP180213141208.RAWD98F,30.5,2.460000038,30.5,1.480000019
11:30:27,NGP180213113003.RAWCAVM,30.5,1.007874012,31,1.663051248
14:00:11,NGP180213140003.RAWD98C,30.5,0.860000014,30.5,0.620000005
11:52:55,NGP180213115252.RAWCB13,30.5,1.007874012,30.5,2.463779449
13:50:13,NGP180213135003.RAWD98A,30.5,1.110000014,30.5,0.74000001
13:40:13,NGP180213134003.RAWCBSP,30.5,1.007874012,30.5,0.739133835
11:30:27,NGP180213113003.RAWD97F,30.5,1.110000014,31,1.659999967
11:20:29,NGP180213112003.RAWD97D,32,1.230000019,30.5,1.659999967
11:32:27,NGP180213113201.RAWCAWG,30.5,1.007874012,31,1.97102356
11:52:55,NGP180213115252.RAWD97L,30.5,1.970000029,30.5,2.460000038
13:40:13,NGP180213134003.RAWD988,30.5,1.419999957,30.5,0.74000001
11:10:29,NGP180213111007.RAWCAR1,31,1.007874012,31.5,1.663051248
13:42:14,NGP180213134208.RAWCBTJ,31,1.007874012,31,0.739133835
11:20:29,NGP180213112003.RAWCATB,32,1.007874012,30.5,1.663051248
11:10:29,NGP180213111007.RAWD97B,31,1.659999967,31.5,1.659999967
14:02:11,NGP180213140201.RAWD98D,30.5,1.230000019,30.5,1.230000019
11:32:27,NGP180213113201.RAWD97G,30.5,1.970000029,31,1.970000029
14:02:11,NGP180213140201.RAWCBY7,30.5,1.007874012,30.5,1.231889725
11:42:26,NGP180213114201.RAWD97J,30.5,1.970000029,30.5,1.970000029
11:22:28,NGP180213112208.RAWCAU6,31,1.007874012,30.5,2.217401743
13:52:12,NGP180213135208.RAWD98B,30.5,0.74000001,31,0.74000001
11:00:30,NGP180213110003.RAWCAMN,31,1.007874012,32.5,1.047106266
11:00:30,NGP180213110003.RAWD979,31,1.049999952,32.5,1.049999952
14:32:38,NGP180213143208.RAWCC54,30.5,1.007874012,30.5,2.463779449
10:52:32,NGP180213105201.RAWCAL7,30.5,1.007874012,30.5,1.97102356
13:33:15,NGP180213133252.RAWCBR8,30.5,1.007874012,31.5,0.739133835
10:50:32,NGP180213105003.RAWD977,31,1.720000029,31,1.720000029
11:02:30,NGP180213110201.RAWCANK,30.5,1.007874012,31.5,1.97102356
10:40:33,NGP180213104016.RAWD975,30.5,1.600000024,30.5,1.600000024
11:02:30,NGP180213110201.RAWD97A,30.5,1.970000029,31.5,1.970000029
13:42:14,NGP180213134208.RAWD989,31,1.720000029,31,0.74000001
10:50:32,NGP180213105003.RAWCAKC,31,1.007874012,31,1.724645615
10:40:33,NGP180213104016.RAWCAH2,30.5,1.007874012,30.5,1.601456761
11:12:29,NGP180213111201.RAWCARW,30.5,1.007874012,31,1.97102356
10:30:04,NGP180213103003.RAWD973,31,1.539999962,30.5,1.539999962
10:42:03,NGP180213104201.RAWCAHX,31,1.007874012,31,1.97102356
10:32:04,NGP180213103201.RAWCAFE,30.5,1.007874012,31,1.724645615
10:30:04,NGP180213103003.RAWCA7X,31,1.007874012,30.5,1.539862156
10:22:05,NGP180213102149.RAWCA5L,30.5,1.007874012,30.5,1.293484211
10:12:07,NGP180213101148.RAWD96Z,31.5,1.360000014,30.5,1.360000014
13:52:12,NGP180213135208.RAWCBVV,30.5,1.007874012,31,0.739133835
10:32:04,NGP180213103201.RAWD974,30.5,1.720000029,31,1.720000029
10:02:07,NGP180213100148.RAWD96X,30.5,1.360000014,31,1.360000014
11:22:28,NGP180213112208.RAWD97E,31,1.970000029,30.5,2.220000029
10:23:05,NGP180213102254.RAWCA6F,30.5,1.007874012,31.5,1.97102356
10:13:06,NGP180213101252.RAWD970,31,1.970000029,31.5,1.970000029
10:02:07,NGP180213100148.RAWCA0Y,30.5,1.007874012,31,1.355078816
10:03:07,NGP180213100259.RAWCA1V,31,1.007874012,30.5,1.97102356
09:52:09,NGP180213095149.RAWC9YM,30.5,1.007874012,31,1.724645615
09:52:09,NGP180213095149.RAWD96V,30.5,1.720000029,31,1.720000029
10:12:07,NGP180213101148.RAWCA3A,31.5,1.007874012,30.5,1.355078816
13:33:15,NGP180213133252.RAWD987,30.5,1.720000029,31.5,0.74000001
10:22:05,NGP180213102149.RAWD971,30.5,1.289999962,30.5,1.289999962
09:30:40,NGP180213093011.RAWC9U1,30.5,1.007874012,30.5,1.909429193
09:40:40,NGP180213094015.RAWC9WB,31,1.007874012,31,1.355078816
09:22:12,NGP180213092149.RAWC9RR,31,1.007874012,31,1.601456761
10:03:07,NGP180213100259.RAWD96Y,31,1.970000029,30.5,1.970000029
10:52:32,NGP180213105201.RAWD978,30.5,1.970000029,30.5,1.970000029
10:23:05,NGP180213102254.RAWD972,30.5,1.970000029,31.5,1.970000029
09:40:40,NGP180213094015.RAWD96T,31,1.720000029,31,1.360000014
10:42:03,NGP180213104201.RAWD976,31,1.970000029,31,1.970000029
09:42:10,NGP180213094201.RAWC9X6,30.5,1.007874012,30.5,2.463779449
10:13:06,NGP180213101252.RAWCA45,31,1.007874012,31.5,1.97102356
09:53:08,NGP180213095300.RAWC9ZG,32,1.007874012,33,2.463779449
09:32:10,NGP180213093208.RAWC9UW,30.5,1.007874012,30.5,2.463779449
09:42:10,NGP180213094201.RAWD96U,30.5,2.460000038,30.5,2.460000038
